,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
1948,6839,10/7/19,1645,11.32,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
1949,6842,10/7/19,2907,10.07,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1950,6844,10/7/19,2820,10,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
1951,6846,10/7/19,1317,11.68,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1952,6851,10/7/19,2927,10.57,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1953,6855,10/7/19,2942,10.03,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1954,6857,10/7/19,1649,11.4,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Hispanic/Latino,,,
1955,6860,10/7/19,2907,8.02,4000,Regular Hours,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
1956,6862,10/7/19,2777,9.7,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1957,6866,10/7/19,2807,10.75,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1958,6867,10/7/19,2713,9.93,4000,Regular Hours,AXB3,A-Shift X5 Body Team 3,Active,Non-Hispanic/Latino,,,
1959,6870,10/7/19,1715,11.52,4000,Regular Hours,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
1960,6873,10/7/19,1638,10,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1961,6875,10/7/19,1811,10.18,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1962,6878,10/7/19,2942,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1963,6879,10/7/19,2912,10.02,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1964,6881,10/7/19,2928,10.47,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1965,6886,10/7/19,1820,9.85,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1966,6889,10/7/19,1640,11.37,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
1967,6892,10/7/19,2945,10.43,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1968,6895,10/7/19,2906,10.08,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1969,6898,10/7/19,1809,9.87,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1970,6899,10/7/19,2906,9.97,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1971,6941,10/7/19,1807,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1972,6947,10/7/19,2809,9.27,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1973,6949,10/7/19,2808,10.02,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1974,6951,10/7/19,2828,10.1,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1975,6954,10/7/19,2939,10.12,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1976,6958,10/7/19,1813,10.08,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
1977,6959,10/7/19,2808,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1978,6960,10/7/19,1806,8.02,4000,Regular Hours,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
1979,6961,10/7/19,2904,10,4000,Regular Hours,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1980,6962,10/7/19,2803,10.05,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1981,6963,10/7/19,2942,10.1,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1982,6965,10/7/19,2813,10.05,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1983,6968,10/7/19,2912,10.05,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1984,6969,10/7/19,1830,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1985,6970,10/7/19,2808,10.1,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
1986,6972,10/7/19,2801,10.03,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1987,6973,10/7/19,1813,10.05,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1988,6975,10/7/19,1811,12.15,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1989,6977,10/7/19,2726,10.02,4000,Regular Hours,AXB2,A-Shift X5 Body Team 2,Active,Non-Hispanic/Latino,,,
1990,6978,10/7/19,1725,11.52,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
1991,6980,10/7/19,1362,10.83,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1992,6981,10/7/19,2611,11.5,4000,Regular Hours,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
1993,6986,10/7/19,1959,8.33,4000,Regular Hours,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
1994,6989,10/7/19,1830,10.03,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1995,6992,10/7/19,2830,8.27,4000,Regular Hours,AZB1,A-Shift Z3 Body Team 1,Active,Non-Hispanic/Latino,,,
1996,6993,10/7/19,2945,10.15,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
1997,6994,10/7/19,2803,11.83,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1998,6995,10/7/19,1361,10.92,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
1999,6996,10/7/19,2726,10.03,4000,Regular Hours,AXB3,A-Shift X5 Body Team 3,Active,Non-Hispanic/Latino,,,
2000,6998,10/7/19,2813,8.58,4000,Regular Hours,BPOW,B-Shift Paint Shop: Repr,Active,Non-Hispanic/Latino,,,
2001,6999,10/7/19,1959,8.57,4000,Regular Hours,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
2002,7000,10/7/19,1807,10.53,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2003,7001,10/7/19,2811,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2004,7006,10/7/19,1806,10.07,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2005,7008,10/7/19,2801,10.08,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2006,7009,10/7/19,2736,10.07,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2007,7014,10/7/19,2906,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2008,7015,10/7/19,2906,9.97,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2009,7018,10/7/19,2812,10.13,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2010,7020,10/7/19,2825,10.57,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2011,7022,10/7/19,2807,10.03,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2012,7023,10/7/19,2944,10.12,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
2013,7028,10/7/19,1811,12.15,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2014,7029,10/7/19,2737,10.13,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2015,7032,10/7/19,2810,10.03,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2016,7033,10/7/19,2726,11.5,4000,Regular Hours,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2017,7034,10/7/19,1725,11.5,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2018,7043,10/7/19,1814,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2019,7045,10/7/19,2830,8.37,4000,Regular Hours,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
2020,7046,10/7/19,1805,10.12,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2021,7048,10/7/19,2820,9.57,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
2022,7054,10/7/19,2806,10.33,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2023,7058,10/7/19,2630,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2024,7061,10/7/19,2830,8.2,4000,Regular Hours,APUB,A-Shift UBS,Active,Non-Hispanic/Latino,,,
2025,7064,10/7/19,1815,9.9,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2026,7066,10/7/19,2777,10,2004,Military,AXB3,A-Shift X5 Body Team 3,Inactive,Non-Hispanic/Latino,,,
2027,7068,10/7/19,1830,11.42,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2028,7075,10/7/19,1835,10.63,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2029,7079,10/7/19,2808,10.02,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2030,7081,10/7/19,2942,10.18,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2031,7084,10/7/19,2923,10.03,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2032,7086,10/7/19,1830,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2033,7088,10/7/19,2806,11.57,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2034,7089,10/7/19,2817,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2035,7091,10/7/19,2941,8.17,4000,Regular Hours,AICP,A-Shift ICP,Active,Hispanic/Latino,,,
2036,7092,10/7/19,1790,11.5,4000,Regular Hours,B11&8P64,Paint B-Shift 11.5hr/8.0h,Active,Non-Hispanic/Latino,,,
2037,7093,10/7/19,1026,9.37,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
2038,7095,10/7/19,2726,10.02,4000,Regular Hours,AXB2,A-Shift X5 Body Team 2,Active,Non-Hispanic/Latino,,,
2039,7097,10/7/19,1809,8,4000,Regular Hours,AAES,A-Shift Asm ESA,Active,Non-Hispanic/Latino,,,
2040,7101,10/7/19,1815,9.87,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2041,7104,10/7/19,2845,8,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
2042,7105,10/7/19,1820,9.87,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2043,7112,10/7/19,2811,10.13,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2044,7113,10/7/19,1820,9.88,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2045,7115,10/7/19,2811,11.95,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
2046,7119,10/7/19,1222,8,2011,60% STD,A0845AQ1,Quality A-Shift 8hrs 8:45,Active,Non-Hispanic/Latino,,,
2047,7120,10/7/19,2931,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2048,7123,10/7/19,1715,11.5,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2049,7126,10/7/19,1222,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2050,7128,10/7/19,2808,10.05,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2051,7129,10/7/19,2911,8.12,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
2052,7140,10/7/19,2927,10.07,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2053,7141,10/7/19,2815,10.08,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2054,7142,10/7/19,2923,10.53,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2055,7144,10/7/19,2801,8.6,4000,Regular Hours,AZT1,A-Shift Z3 Test Team 1,Active,Non-Hispanic/Latino,,,
2056,7147,10/7/19,1830,10.13,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2057,7148,10/7/19,2905,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2058,7149,10/7/19,2666,5.58,4000,Regular Hours,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
2059,7153,10/7/19,2950,10.8,4000,Regular Hours,AXA3,A-Shift X5 Asm Team 3,Active,Non-Hispanic/Latino,,,
2060,7154,10/7/19,2810,10.1,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2061,7155,10/7/19,2936,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2062,7158,10/7/19,2923,10.07,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2063,7160,10/7/19,1811,10.68,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2064,7161,10/7/19,2737,10.15,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2065,7162,10/7/19,1813,10.98,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2066,7164,10/7/19,2809,10.8,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2067,7165,10/7/19,1804,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2068,7166,10/7/19,2808,10.03,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2069,7167,10/7/19,2945,10.07,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2070,7169,10/7/19,1813,10.43,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2071,7172,10/7/19,2810,5,2000,Vacation,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2072,7172,10/7/19,2810,5.83,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2073,7174,10/7/19,2714,9.93,4000,Regular Hours,AXB3,A-Shift X5 Body Team 3,Active,Non-Hispanic/Latino,,,
2074,7175,10/7/19,2911,8.58,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
2075,7179,10/7/19,2923,10.13,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2076,7182,10/7/19,1813,10.03,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2077,7184,10/7/19,2809,10.75,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2078,7185,10/7/19,1830,10.67,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2079,7186,10/7/19,2931,8.97,4000,Regular Hours,APUB,A-Shift UBS,Active,Non-Hispanic/Latino,,,
2080,7190,10/7/19,1725,11.5,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2081,7191,10/7/19,1621,11.55,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2082,7192,10/7/19,2807,10.02,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2083,7196,10/7/19,2923,10.07,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2084,7198,10/7/19,1806,10.85,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2085,7200,10/7/19,1809,9.97,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2086,7203,10/7/19,2925,10.02,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
2087,7207,10/7/19,2931,10.02,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2088,7210,10/7/19,2930,10.88,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2089,7247,10/7/19,2815,10.02,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2090,7248,10/7/19,2906,10.6,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2091,7249,10/7/19,2930,11.7,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2092,7252,10/7/19,2816,10.05,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
2093,7259,10/7/19,2909,10.06,4000,Regular Hours,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2094,7261,10/7/19,2928,10.47,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2095,7262,10/7/19,2828,10.76,4000,Regular Hours,B1930AD3,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2096,7264,10/7/19,1811,10.83,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2097,7267,10/7/19,2807,5.33,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2098,7268,10/7/19,1730,11.37,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2099,7270,10/7/19,2801,10.05,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2100,7271,10/7/19,2911,8.12,4000,Regular Hours,APZA,A-Shift Paint Z3 Asm,Active,Non-Hispanic/Latino,,,
2101,7277,10/7/19,2809,10.16,4000,Regular Hours,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2102,7278,10/7/19,2931,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2103,7280,10/7/19,2929,10.03,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2104,7287,10/7/19,2930,10.93,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2105,7298,10/7/19,1813,10.03,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2106,7301,10/7/19,1720,8,4000,Regular Hours,A0850L30,A 8 Hour Paint 850-1720,Active,Non-Hispanic/Latino,,,
2107,7303,10/7/19,2828,10.1,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2108,7304,10/7/19,2817,10.12,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2109,7307,10/7/19,1450,8,4000,Regular Hours,AAEL,A-Shift Asm ESA Ln 1,Active,Non-Hispanic/Latino,,,
2110,7310,10/7/19,1830,6.35,4000,Regular Hours,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2111,7311,10/7/19,2949,10.88,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2112,7312,10/7/19,1640,11.5,2000,Vacation,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2113,7313,10/7/19,2936,10.6,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2114,7316,10/7/19,2802,10.02,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2115,7317,10/7/19,2040,7.33,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
2116,7318,10/7/19,2777,7.5,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2117,7319,10/7/19,2812,10.02,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2118,7321,10/7/19,2914,10.05,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2119,7323,10/7/19,2945,10.33,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2120,7326,10/7/19,2779,10.22,4000,Regular Hours,A0700AA1,A-Shift 07:00 Start 10 hr,Active,Non-Hispanic/Latino,,,
2121,7327,10/7/19,1813,10.07,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2122,7330,10/7/19,2837,9.33,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
2123,7332,10/7/19,2912,10.02,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2124,7334,10/7/19,2811,10.17,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2125,7337,10/7/19,2809,10.05,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2126,7341,10/7/19,2828,10.2,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
2127,7342,10/7/19,2738,11.5,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2128,7343,10/7/19,1770,11.5,4000,Regular Hours,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2129,7344,10/7/19,2738,9.03,4000,Regular Hours,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
2130,7345,10/7/19,2809,10.18,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2131,7348,10/7/19,2837,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2132,7352,10/7/19,2816,10.08,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2133,7354,10/7/19,2810,10.1,4000,Regular Hours,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2134,7355,10/7/19,2809,10.17,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2135,7356,10/7/19,2931,10.01,4000,Regular Hours,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2136,7358,10/7/19,4255,5.07,4000,Regular Hours,AZT1,A-Shift Z3 Test Team 1,Active,Non-Hispanic/Latino,,,
2137,7360,10/7/19,2929,7.58,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2138,7365,10/7/19,2812,10.12,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
2139,7366,10/7/19,1640,11.33,4000,Regular Hours,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
2140,7367,10/7/19,2945,10.08,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
2141,7368,10/7/19,1833,9.1,4000,Regular Hours,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
